case,task_key,g_key,g,g_latex,x0_key,X0,X0_latex,analytic_x,analytic_J,status,phi13_x,phi13_t,phi13_rho,phi13_root,phi32_x,phi32_t,phi32_rho,phi32_root,figure,figure_no
г,g,g1,u - 1,$u-1$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,"[0,1]",1.00000000,неединственный минимум,0.00000000,0.99990096,0.00009904,True,0.00000000,0.99990096,0.00009904,True,graphs/g_g1_xge0_overview.png,19
г,g,g1,u - 1,$u-1$,R,E^1,$E^1$,"$(-\infty,1]$",1.00000000,неединственный минимум,-8.00000000,0.99990096,0.00009904,True,-8.00000000,0.99990096,0.00009904,True,graphs/g_g1_R_overview.png,20
г,g,g2,(u - 2)/(u^2 + 1),$(u-2)(u^2+1)^{-1}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,2,0.50000000,достигается,2.00000000,0.49990096,0.00009904,True,2.00000000,0.49990096,0.00009904,True,graphs/g_g2_xge0_overview.png,21
г,g,g2,(u - 2)/(u^2 + 1),$(u-2)(u^2+1)^{-1}$,R,E^1,$E^1$,2,0.50000000,достигается,2.00000000,0.49990096,0.00009904,True,2.00000000,0.49990096,0.00009904,True,graphs/g_g2_R_overview.png,22
г,g,g3,exp(-u^2),$e^{-u^2}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,-,,$U=\varnothing$,8.00000000,0.12490096,0.00009904,True,8.00000000,0.12490096,0.00009904,True,graphs/g_g3_xge0_overview.png,23
г,g,g3,exp(-u^2),$e^{-u^2}$,R,E^1,$E^1$,-,,$U=\varnothing$,8.00000000,0.12490096,0.00009904,True,8.00000000,0.12490096,0.00009904,True,graphs/g_g3_R_overview.png,24
д,d,g1,u,$u$,R,E^1,$E^1$,"$(-\infty,0]$",1.00000000,неединственный минимум,-8.00000000,0.99990061,0.00009939,True,-8.00000000,0.99990061,0.00009939,True,graphs/d_g1_R_overview.png,25
д,d,g1,u,$u$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,1.00000000,достигается,0.00000000,0.99990061,0.00009939,True,0.00000000,0.99990061,0.00009939,True,graphs/d_g1_xge0_overview.png,26
д,d,g2,u^2 + 1,$u^2+1$,R,E^1,$E^1$,-,,$U=\varnothing$,0.00000000,1.00000035,20.00000000,False,0.00000000,0.99999965,20.00000035,False,graphs/d_g2_R_overview.png,27
д,d,g2,u^2 + 1,$u^2+1$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,-,,$U=\varnothing$,0.00000000,1.00000035,20.00000000,False,0.00000000,0.99999965,20.00000035,False,graphs/d_g2_xge0_overview.png,28
д,d,g3,exp(-u^2)(u^2 + 1),$e^{-u^2}(u^2+1)$,R,E^1,$E^1$,-,,$U=\varnothing$,-8.00000000,0.99990061,0.00009939,True,-8.00000000,0.99990061,0.00009939,True,graphs/d_g3_R_overview.png,29
д,d,g3,exp(-u^2)(u^2 + 1),$e^{-u^2}(u^2+1)$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,-,,$U=\varnothing$,7.31040000,0.99990061,0.00009939,True,7.31040000,0.99990061,0.00009939,True,graphs/d_g3_xge0_overview.png,30
д,d,g4,u^2 exp(-u^2),$u^2e^{-u^2}$,R,E^1,$E^1$,0,1.00000000,достигается,-8.00000000,0.99990061,0.00009939,True,-8.00000000,0.99990061,0.00009939,True,graphs/d_g4_R_overview.png,31
д,d,g4,u^2 exp(-u^2),$u^2e^{-u^2}$,xge0,u >= 0,$\{u\in E^1:\ u\geq 0\}$,0,1.00000000,достигается,0.00000000,0.99990061,0.00009939,True,0.00000000,0.99990061,0.00009939,True,graphs/d_g4_xge0_overview.png,32
